<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2025.03.24	07:15:00	3018.07	3019.56	3017.38	3018.07	603	0	8
2025.03.24	07:30:00	3018.07	3018.50	3017.43	3018.27	359	0	8
2025.03.24	07:45:00	3018.27	3020.10	3017.90	3019.26	915	0	8
2025.03.24	08:00:00	3019.27	3023.00	3018.84	3022.39	1004	0	8
2025.03.24	08:15:00	3022.39	3023.14	3022.01	3022.75	711	0	8
2025.03.24	08:30:00	3022.77	3023.04	3021.06	3021.09	1318	0	8
2025.03.24	08:45:00	3021.06	3022.55	3020.10	3022.02	1012	0	8
2025.03.24	09:00:00	3022.03	3022.74	3017.83	3018.37	1290	0	4
2025.03.24	09:15:00	3018.36	3022.57	3017.31	3022.43	1148	0	4
2025.03.24	09:30:00	3022.46	3024.86	3021.76	3024.79	1324	0	4
2025.03.24	09:45:00	3024.79	3025.76	3024.58	3025.03	1061	0	4
2025.03.24	10:00:00	3025.09	3026.31	3023.99	3025.51	1452	0	4
2025.03.24	10:15:00	3025.46	3028.91	3024.39	3025.06	1676	0	4
2025.03.24	10:30:00	3025.16	3025.25	3021.54	3022.72	1613	0	4
2025.03.24	10:45:00	3022.70	3023.49	3021.07	3022.49	1702	0	4
2025.03.24	11:00:00	3022.35	3025.49	3021.84	3024.79	1923	0	4
2025.03.24	11:15:00	3024.82	3025.05	3022.33	3023.42	1743	0	6
2025.03.24	11:30:00	3023.42	3027.82	3022.69	3027.12	2356	0	4
2025.03.24	11:45:00	3027.11	3029.00	3026.93	3029.00	1897	0	4
2025.03.24	12:00:00	3029.10	3030.95	3028.44	3030.35	1915	0	4
2025.03.24	12:15:00	3030.36	3030.81	3028.10	3029.26	1906	0	4
2025.03.24	12:30:00	3029.27	3029.64	3023.98	3024.83	1744	0	4
2025.03.24	12:45:00	3024.83	3025.05	3022.61	3023.64	1757	0	4
2025.03.24	13:00:00	3023.64	3027.82	3023.64	3027.81	1976	0	4
2025.03.24	13:15:00	3027.83	3033.22	3026.84	3032.84	2403	0	4
2025.03.24	13:30:00	3032.80	3033.46	3028.08	3029.69	2025	0	4
2025.03.24	13:45:00	3029.70	3029.98	3027.81	3028.35	1305	0	4
2025.03.24	14:00:00	3028.36	3029.39	3026.69	3027.21	1751	0	4
2025.03.24	14:15:00	3027.21	3028.02	3026.65	3027.30	1267	0	4
2025.03.24	14:30:00	3027.30	3027.51	3024.46	3025.41	1208	0	4
2025.03.24	14:45:00	3025.41	3026.46	3024.60	3024.82	1226	0	4
2025.03.24	15:00:00	3024.80	3026.44	3024.26	3026.41	1916	0	4
2025.03.24	15:15:00	3026.41	3028.64	3026.22	3026.71	1761	0	4
2025.03.24	15:30:00	3026.73	3027.61	3025.14	3026.50	1724	0	4
2025.03.24	15:45:00	3026.51	3026.51	3022.43	3024.26	2520	0	4
2025.03.24	16:00:00	3024.17	3027.75	3023.81	3027.53	2679	0	4
2025.03.24	16:15:00	3027.53	3028.43	3023.29	3024.60	2606	0	4
2025.03.24	16:30:00	3024.67	3026.20	3020.91	3022.14	2960	0	4
2025.03.24	16:45:00	3021.16	3026.27	3019.16	3022.54	3631	0	4
2025.03.24	17:00:00	3022.32	3023.98	3020.07	3023.41	2846	0	4
2025.03.24	17:15:00	3023.41	3023.68	3015.55	3016.63	2699	0	4
2025.03.24	17:30:00	3016.64	3017.10	3009.10	3010.74	3871	0	5
2025.03.24	17:45:00	3010.74	3014.34	3008.02	3012.17	2910	0	4
2025.03.24	18:00:00	3012.02	3012.42	3005.77	3010.87	3235	0	4
2025.03.24	18:15:00	3010.83	3013.03	3009.18	3009.93	2500	0	4
2025.03.24	18:30:00	3009.94	3015.34	3009.88	3014.79	2310	0	4
2025.03.24	18:45:00	3014.78	3015.21	3012.54	3014.22	1882	0	4
2025.03.24	19:00:00	3014.20	3015.66	3012.47	3012.83	1955	0	4
2025.03.24	19:15:00	3012.83	3013.19	3009.73	3011.67	1910	0	4
2025.03.24	19:30:00	3011.71	3012.17	3008.01	3009.33	1657	0	4
2025.03.24	19:45:00	3009.33	3011.23	3009.13	3009.88	1724	0	4
2025.03.24	20:00:00	3009.87	3009.89	3007.09	3008.79	1844	0	4
2025.03.24	20:15:00	3008.85	3010.00	3006.70	3009.71	1925	0	4
2025.03.24	20:30:00	3009.49	3009.68	3006.64	3007.63	1322	0	4
2025.03.24	20:45:00	3007.67	3008.09	3005.92	3007.07	1349	0	4
2025.03.24	21:00:00	3007.07	3008.01	3002.52	3003.68	1787	0	4
2025.03.24	21:15:00	3003.69	3005.13	3003.48	3004.46	1480	0	4
2025.03.24	21:30:00	3004.47	3007.63	3004.03	3007.58	1496	0	4
2025.03.24	21:45:00	3007.55	3008.11	3006.29	3006.81	1230	0	4
2025.03.24	22:00:00	3006.85	3008.09	3005.86	3007.23	913	0	4
2025.03.24	22:15:00	3007.21	3008.25	3005.40	3005.58	843	0	4
2025.03.24	22:30:00	3005.58	3006.88	3005.19	3006.67	855	0	4
2025.03.24	22:45:00	3006.71	3006.80	3005.09	3006.16	971	0	4
2025.03.24	23:00:00	3006.16	3007.75	3005.73	3007.41	471	0	4
2025.03.24	23:15:00	3007.42	3012.54	3007.22	3011.77	925	0	4
2025.03.24	23:30:00	3011.78	3013.19	3011.54	3012.70	590	0	4
2025.03.24	23:45:00	3012.69	3014.40	3011.59	3012.06	510	0	20
2025.03.25	01:00:00	3011.77	3012.40	3010.55	3011.04	403	0	9
2025.03.25	01:15:00	3011.20	3012.31	3010.84	3010.84	559	0	8
2025.03.25	01:30:00	3010.84	3010.84	3009.51	3009.68	402	0	8
2025.03.25	01:45:00	3009.69	3012.37	3009.00	3011.52	519	0	8
2025.03.25	02:00:00	3011.52	3012.36	3011.46	3011.51	318	0	8
2025.03.25	02:15:00	3011.51	3012.28	3010.53	3012.08	526	0	8
2025.03.25	02:30:00	3012.09	3012.29	3009.52	3009.63	451	0	8
2025.03.25	02:45:00	3009.61	3010.73	3009.48	3010.01	434	0	8
2025.03.25	03:00:00	3010.45	3011.57	3009.08	3011.26	475	0	8
2025.03.25	03:15:00	3011.25	3011.88	3010.08	3010.45	684	0	8
2025.03.25	03:30:00	3010.60	3012.23	3010.43	3011.11	680	0	8
2025.03.25	03:45:00	3011.11	3014.89	3010.90	3014.07	745	0	8
2025.03.25	04:00:00	3014.07	3014.49	3012.55	3012.74	1495	0	8
2025.03.25	04:15:00	3012.73	3013.54	3010.40	3012.16	1129	0	8
2025.03.25	04:30:00	3012.19	3014.65	3012.19	3014.36	1152	0	8
2025.03.25	04:45:00	3014.36	3014.68	3011.20	3011.87	1057	0	8
2025.03.25	05:00:00	3011.86	3011.87	3008.63	3011.35	1238	0	8
2025.03.25	05:15:00	3011.35	3012.38	3009.81	3010.34	814	0	8
2025.03.25	05:30:00	3010.27	3011.61	3009.62	3010.55	1090	0	8
2025.03.25	05:45:00	3010.55	3010.93	3007.40	3009.20	1437	0	8
2025.03.25	06:00:00	3009.20	3012.73	3008.72	3012.50	1068	0	8
2025.03.25	06:15:00	3012.50	3014.91	3012.34	3014.29	1436	0	8
2025.03.25	06:30:00	3014.25	3016.29	3014.02	3015.98	1002	0	8
2025.03.25	06:45:00	3016.02	3016.02	3014.75	3015.16	960	0	8
2025.03.25	07:00:00	3015.18	3016.31	3014.82	3015.38	939	0	8
2025.03.25	07:15:00	3015.37	3015.63	3014.52	3015.41	573	0	8
2025.03.25	07:30:00	3015.44	3016.27	3015.11	3015.17	494	0	8
2025.03.25	07:45:00	3015.16	3016.20	3015.06	3015.20	659	0	8
2025.03.25	08:00:00	3015.20	3018.92	3014.36	3018.51	1064	0	8
2025.03.25	08:15:00	3018.54	3020.98	3017.88	3020.04	1112	0	8
2025.03.25	08:30:00	3020.03	3020.03	3017.90	3018.44	1123	0	8
2025.03.25	08:45:00	3018.42	3019.27	3016.64	3018.35	945	0	8
2025.03.25	09:00:00	3018.36	3018.70	3015.38	3016.79	915	0	5
2025.03.25	09:15:00	3016.79	3017.41	3015.54	3016.90	1350	0	4
